id,fullName,birthDate,currentAge,height,weight,POS,Birthplace,B/T
540988,Demetrio Gutierrez,14-02-1990,34,"6' 2""",185,P,"Los Mochis, Mexico",L/L
614182,Jose Carlos Urena,14-01-1995,29,"6' 3""",180,OF,"Ciudad Obregon, Mexico",R/R
585132,Raul Carrillo,20-11-1991,32,"6' 1""",185,P,"Guadalajara, Mexico",R/R
587275,Alan Espinoza,30-01-1991,33,"5' 7""",165,C,"Ciudad Obregon, Mexico",R/R
477462,Esteban Haro,11-11-1985,38,"6' 0""",165,P,"Los Mochis, Mexico",R/R
657674,Kyle Martin,13-11-1992,31,"6' 2""",240,1B,"Greenville, USA",L/L
571531,Sergio Burruel,22-07-1991,33,"5' 11""",210,C,"Phoenix, USA",L/R
596671,Omar Renteria,17-01-1990,34,"5' 9""",180,C,"Tepatitlan, Mexico",R/R
445995,Arturo Lopez,22-02-1983,41,"5' 9""",165,P,"Culican, Mexico",L/L
641878,Ian Miller,21-02-1992,32,"6' 0""",170,OF,"Philadelphia, USA",L/R
677604,Damian Mendoza,25-01-2001,23,"6' 1""",175,P,"Navajoa, Mexico",L/R
668410,Omar Meza,16-11-1996,27,"6' 1""",190,IF,"Los Mochis, Mexico",R/R
703006,Jorge Sauceda,17-01-2002,22,"5' 10""",150,P,"Ciudad Obregon, Mexico",R/R
519434,Michael Wing,25-10-1988,35,"6' 1""",180,2B,"Pasadena, USA",R/R
622097,Jake Thompson,31-01-1994,30,"6' 4""",225,P,"Dallas, USA",R/R
592312,Jorge Flores,25-11-1991,32,"5' 5""",160,SS,"Ensenada, Mexico",R/R
661148,Carlos Sepulveda,27-08-1996,28,"5' 10""",170,2B,"Monclova, Mexico",L/R
660850,Juan Robles,06-11-1997,26,"6' 0""",185,P,"Navojoa, Mexico",R/R
611319,Jesus Arredondo,20-02-1991,33,"6' 0""",180,SS,"Los Mochis, Mexico",L/R
620396,Miguel Aguilar,26-09-1991,33,"5' 8""",194,P,"Ciudad Obregon, Mexico",L/L
682655,Fernando Villalobos,24-06-2002,22,"5' 11""",195,C,"Ensenada, Mexico",L/R
594582,Yoanner Negrin,29-04-1984,40,"5' 11""",190,P,"Havana, Cuba",R/R
692979,Maikel Serrano,31-03-1993,31,"5' 9""",220,OF,"Pinar del Rio, CUB",R/R
653245,Kristian Delgado,19-07-1993,31,"5' 7""",173,3B,"Mexicali, Mexico",R/R
653001,Samar Leyva,20-09-1994,30,"6' 0""",163,2B,"Los Mochis, Mexico",R/R
