id,fullName,birthDate,currentAge,height,weight,POS,Birthplace,B/T
453575,Jose Guadalupe Chavez,02-01-1985,39,"5' 10""",180.0,2B,"Guaymas, Mexico",S/R
614182,Jose Carlos Urena,14-01-1995,29,"6' 3""",180.0,OF,"Ciudad Obregon, Mexico",R/R
622047,Fernando Perez,13-09-1993,31,"6' 0""",210.0,2B,"Ensenada, Mexico",L/R
649966,Luis Urías,03-06-1997,27,"5' 9""",202.0,3B,"Magdalena de Kino, Mexico",R/R
554230,Amilcar Gaxiola,27-10-1990,33,"6' 0""",190.0,P,"Culiacan, Mexico",L/L
510612,Francisco Cordoba,01-06-1984,40,"5' 11""",190.0,C,"Tlalixcoyan, Mexico",R/R
585251,Juan Carlos Gamboa,18-04-1991,33,"5' 7""",155.0,SS,"Los Mochis, Mexico",L/R
683124,Fernando Olguin,04-03-2001,23,"5' 9""",155.0,P,"Tijuana, Mexico",R/R
445995,Arturo Lopez,22-02-1983,41,"5' 9""",165.0,P,"Culican, Mexico",L/L
616405,Mario Meza,24-11-1990,33,"6' 3""",200.0,P,"Culiacan, Mexico",R/R
656029,Alexis Wilson,13-08-1996,28,"5' 10""",200.0,C,"Los Mochis, Mexico",R/R
542413,Felipe Gonzalez,15-08-1991,33,"6' 1""",200.0,P,"Guadalupe, Mexico",R/R
674810,Victor Castaneda,27-08-1998,26,"6' 1""",185.0,P,"Culiacan, Mexico",R/R
702352,Spencer Bivens,28-06-1994,30,"6' 5""",205.0,P,"Virginia Beach, USA",R/R
703006,Jorge Sauceda,17-01-2002,22,"5' 10""",150.0,P,"Ciudad Obregon, Mexico",R/R
701980,Nestor Rios,04-01-2005,19,"6' 0""",175.0,C,"Aguascalientes, Mexico",R/R
692460,Taiki Sekine,28-06-1995,29,"5' 6""",157.0,OF,"Aichi, Japan",L/L
519434,Michael Wing,25-10-1988,35,"6' 1""",180.0,2B,"Pasadena, USA",R/R
685771,Alfredo Hurtado,19-09-1997,27,"5' 9""",176.0,C,"Agua Prieta, Mexico",S/R
641995,Roel Ramírez,26-05-1995,29,"6' 0""",235.0,P,"Laredo, USA",R/R
592831,Konner Wade,03-12-1991,32,"6' 3""",195.0,P,"Scottsdale, USA",L/R
605480,Mallex Smith,06-05-1993,31,"5' 9""",170.0,OF,"Tallahassee, USA",L/R
642488,Ademar Rifaela,20-11-1994,29,"5' 10""",180.0,OF,"Willemstad, Curacao",L/L
661148,Carlos Sepulveda,27-08-1996,28,"5' 10""",170.0,2B,"Monclova, Mexico",L/R
570664,Carlos Vazquez,03-09-1991,33,"5' 11""",180.0,P,"Ciudad Nezahualcoyotl, Mexico",L/L
620396,Miguel Aguilar,26-09-1991,33,"5' 8""",194.0,P,"Ciudad Obregon, Mexico",L/L
802888,Victor Marquez,21-12-2001,22,"6' 0""",190.0,IF,"Poza Rica, Mexico",S/R
666627,Faustino Carrera,09-03-1999,25,"5' 10""",165.0,P,"Ciudad Obregon, Mexico",L/L
639238,Edgar Arredondo,16-05-1997,27,"6' 3""",230.0,P,"Culiacan, Mexico",R/R
540204,Ramon Rios,04-03-1988,36,"5' 10""",200.0,2B,"Guyamas, Sonora, Mexico",R/R
670986,Jose Bravo,10-06-1997,27,"6' 3""",213.0,P,"Tijuana, Mexico",R/R
455378,Ali Solis,29-09-1987,37,"6' 0""",200.0,C,"Mexicali, Mexico",R/R
500869,Emmanuel Avila,26-11-1988,35,"5' 11""",205.0,2B,"Los Mochis, Mexico",L/R
594105,Aldo Montes,02-02-1990,34,"6' 1""",180.0,P,"Tijuana Baja, Mexico",R/R
518435,Manny Barreda,08-10-1988,36,"5' 11""",195.0,P,"Prescott, USA",R/R
701812,Rogelio Cobos,13-07-1999,25,"6' 0""",205.0,OF,"Campeche, Mexico",L/R
642707,Allen Córdoba,06-12-1995,28,"6' 2""",235.0,SS,"Changuinola, Panama",R/R
608841,Joey Meneses,06-05-1992,32,"6' 3""",235.0,1B,"Culiacan, Mexico",R/R
641538,Frank Duncan,30-01-1992,32,"6' 4""",215.0,P,"San Francisco, USA",R/R
691959,Nestor Anguamea,11-03-2000,24,"5' 9""",154.0,P,"Ciudad Obregon, Mexico",R/R
616623,Edwin Fierro,30-08-1993,31,"6' 1""",200.0,P,"Ciudad Obregon, Mexico",R/R
698962,Ricardo Estrada,25-06-2002,22,"6' 0""",170.0,P,"Chihuahua, Mexico",L/L
806317,Axel Sauceda,19-05-2001,23,"6' 7""",229.0,P,"Culiacan, Mexico",R/R
650980,Samuel Zazueta,21-11-1996,27,"5' 11""",170.0,P,"Ciudad Obregon, Mexico",L/L
538079,Antonio Lamas,30-12-1989,34,"5' 9""",165.0,2B,"Chilapa, Mexico",R/R
677605,Luis Verdugo,12-10-2000,24,"6' 2""",160.0,3B,"La Paz, Mexico",R/R
820902,Carlos Carra,19-11-2006,17,"5' 11""",181.0,P,"Ciudad Obregon, Mexico",R/R
666015,Francisco Villegas,31-08-1997,27,"6' 2""",175.0,P,"Cuauhtemoc, Mexico",L/L
687019,Andrés Alvarez,29-03-1997,27,"5' 8""",175.0,SS,"Chula Vista, USA",R/R
628333,Odrisamer Despaigne,04-04-1987,37,"6' 0""",200.0,P,"Havana, Cuba",R/R
628013,Victor Mendoza,30-11-1990,33,"6' 2""",205.0,1B,"Obregon, Sonora, Mexico",L/L
682961,Mario Perez,18-04-2002,22,"5' 11""",148.0,P,"Ciudad Obregon, Mexico",R/R
816260,Bryan Corral,28-01-2005,19,,,OF,,L/L
682761,Josuan Hernandez,30-01-1994,30,"5' 8""",190.0,IF,"Havana, Cuba",R/R
593471,Isaias Tejeda,28-10-1991,32,"6' 0""",195.0,C,"Santo Domingo, Dominican Republic",R/R
663778,Sam Bordner,16-10-1996,27,"6' 5""",228.0,P,"Columbus, USA",R/R
664823,David Gutierrez,18-08-1993,31,"5' 9""",198.0,P,"Guamuchil, Mexico",R/R
656172,Arel Campoy,28-09-1995,29,"5' 4""",154.0,SS,"Ciudad Obregon, Mexico",R/R
678429,Manuel Espinoza,17-11-2000,23,"5' 11""",150.0,P,"Culiacan Rosales, Mexico",R/R
598284,Peter O'Brien,15-07-1990,34,"6' 4""",225.0,OF,"Hialeah, USA",R/R
641323,Luis Aviles Jr.,16-03-1995,29,"6' 2""",210.0,SS,"Miami, USA",R/R
695000,Poncho Ruiz,23-02-2002,22,"6' 1""",210.0,C,"Tijuana, Mexico",R/R
573627,Kennys Vargas,01-08-1990,34,"6' 5""",290.0,IF,"Canovanas, Puerto Rico",S/R
666502,Marcelo Martinez,10-08-1996,28,"6' 2""",190.0,P,"Reynosa, Mexico",L/L
500208,Yangervis Solarte,03-07-1987,37,"5' 11""",220.0,3B,"Valencia, Venezuela",S/R
518530,Xorge Carrillo,12-04-1989,35,"6' 1""",235.0,C,"Tijuana, Mexico",R/R
692270,Antonio Castaneda,10-09-2001,23,"5' 9""",182.0,OF,"Mexicali, Mexico",L/L
519068,Efren Navarro,14-05-1986,38,"6' 0""",210.0,1B,"Lynwood, USA",L/L
642299,Alejandro Flores,27-12-1995,28,"6' 1""",180.0,C,"Hermosillo, Mexico",S/R
572102,Keyvius Sampson,06-01-1991,33,"6' 2""",225.0,P,"Gainesville, USA",R/R
547862,David Reyes,12-04-1990,34,"6' 0""",190.0,P,"Los Mochis, Mexico",R/R
678410,Saul Vazquez,25-06-2000,24,"6' 1""",178.0,P,"Merida, Mexico",L/L
667904,Jose Isidro Marquez,17-06-1994,30,"5' 9""",171.0,P,"Navajoa, Mexico",R/R
655212,Manuel Orduno,21-01-1996,28,"5' 10""",183.0,OF,"Ciudad Obregon, Mexico",R/R
691731,Brayan Munoz,13-08-2002,22,"5' 8""",176.0,P,"Escuinapa de Hidalgo, Mexico",L/L
623985,Manuel Chavez,22-11-1993,30,"6' 3""",175.0,P,"Mexicali, Mexico",L/L
645799,Isaac Jimenez,12-12-1995,28,"5' 11""",175.0,P,"Oaxaca, Mexico",R/R
622256,Patrick Weigel,08-07-1994,30,"6' 6""",240.0,P,"Thousand Oaks, USA",R/R
644425,Jake Sanchez,19-08-1989,35,"6' 1""",205.0,P,"Brawley, USA",R/R
665745,Javier Salazar,28-10-1996,27,"6' 1""",205.0,IF,"Monterrey, Mexico",L/R
676021,Luis Santos,04-01-2000,24,"5' 6""",160.0,2B,"Paso de la Boca, Mexico",R/R
511428,Leo Heras,29-05-1990,34,"5' 9""",190.0,OF,"Tijuana, Mexico",L/R
675455,Milan Tolentino,17-11-2001,22,"5' 11""",185.0,SS,"Mission Viejo, USA",L/R
471906,Reynaldo Rodriguez,02-07-1986,38,"6' 0""",195.0,1B,"Cartagena, Colombia",R/R
678368,Valente Bellozo,04-01-2000,24,"5' 10""",208.0,P,"Mexicali, Mexico",R/R
622747,Eduardo Vera,03-07-1994,30,"6' 2""",195.0,P,"Merida, Mexico",R/R
661150,Andres Martin,14-02-1997,27,"6' 0""",190.0,OF,"San Luis Rio Colorado, Mexico",R/R
657090,Brac Warren,14-02-1996,28,"6' 4""",220.0,P,"Rosebud, USA",R/R
592889,Ernesto Zaragoza,26-09-1992,32,"6' 1""",175.0,P,"Anaheim, USA",R/R
605011,Moises Gutierrez,19-11-1994,29,"5' 9""",165.0,2B,"San Luis Potosi, Mexico",S/R
